year,subject,school_name,group_id,group_code,min_score,min_rank,xuanke_req,is_special
2024,物理,南京航空航天大学,04,A11104,611,12932,化学,是
2024,物理,南京航空航天大学,05,A11105,628,7356,化学,否
2024,物理,南京航空航天大学,06,A11106,607,14519,化学,是
2024,物理,南京理工大学,01,A11301,609,13728,不限,否
2024,物理,南京理工大学,02,A11302,600,17613,不限,是
2024,物理,南京理工大学,03,A11303,622,9067,化学,否
2024,物理,中国矿业大学,04,A11504,603,16230,化学,否
2024,物理,中国矿业大学,05,A11505,586,24681,化学,否
2024,物理,河海大学第03,03,A11703,609,13728,不限,否
2024,物理,河海大学,01,A11704,605,15356,化学,否
2024,物理,河海大学,05,A11705,589,23071,化学,否
2024,物理,河海大学,06,A11706,592,21511,化学,是
2024,物理,江南大学,05,A11905,602,16685,不限,否
2024,物理,江南大学,06,A11906,588,23596,不限,否
2024,物理,江南大学,07,A11907,598,18563,不限,否
2024,物理,江南大学,08,A11908,613,12158,化学,否
2024,物理,江南大学,09,A11909,609,13728,化学,否
2024,物理,江南大学,10,A11910,601,17139,化学,否
2024,物理,江南大学,11,A11911,611,12932,化学,否
2024,物理,江南大学,12,A11912,598,18563,化学,否
2024,物理,江南大学,13,A11913,602,16685,化学,否
2024,物理,江南大学,14,A11914,619,10035,化学,否
2024,物理,江南大学,15,A11915,614,11756,化学,否
2024,物理,江南大学,16,A11916,599,18084,化学,否
2024,物理,江南大学,17,A11917,601,17139,化学,否
2024,物理,江南大学,18,A11918,613,12158,化学,否
2024,物理,江南大学,19,A11919,600,17613,化学,否
2024,物理,江南大学,20,A11920,612,12536,化学,否
2024,物理,江南大学,21,A11921,612,12536,化学,否
2024,物理,江南大学,22,A11922,614,11756,化学,否
2024,物理,江南大学,23,A11923,614,11756,化学,否
2024,物理,江南大学,24,A11924,589,23071,化学,是
2024,物理,南京农业大学,02,A12102,591,21997,不限,否
2024,物理,南京农业大学,03,A12103,588,23596,不限,是
2024,物理,南京农业大学,04,A12104,596,19537,化学,否
2024,物理,南京农业大学,05,A12105,589,23071,化学,是
2024,物理,中国药科大学,02,A12302,590,22473,不限,是
2024,物理,中国药科大学,03,A12303,587,24132,不限,是
2024,物理,中国药科大学,04,A12304,589,23071,化学,是
2024,物理,中国药科大学,05,A12305,610,13315,化学,否
2024,物理,中国药科大学,06,A12306,609,13728,化学,否
2024,物理,中国药科大学,08,A12308,594,20493,化学,是
2024,物理,浙江大学,02,A12502,648,3033,不限,是
2024,物理,浙江大学,03,A12503,673,581,化学,否
2024,物理,浙江大学,04,A12504,645,3532,化学,否
2024,物理,浙江大学,05,A12505,655,2080,化学,是
2024,物理,中国科学技术大学,01,A12701,672,618,化学,否
2024,物理,中国科学技术大学第02组入,02,A12702,656,1971,化学,是
2024,物理,合肥工业大学第01组&gt;,01,A12901,604,15768,不限,否
2024,物理,合肥工业大学,02,A12902,584,25792,不限,否
2024,物理,合肥工业大学,03,A12903,616,11058,化学,否
2024,物理,厦门大学,07,A13107,609,13728,不限,是
2024,物理,厦门大学,08,A13108,634,5756,化学,否
2024,物理,厦门大学,09,A13109,609,13728,化学,否
2024,物理,厦门大学,10,A13110,622,9067,化学,是
2024,物理,华侨大学,02,A13302,567,36659,不限,否
2024,物理,华侨大学,03,A13303,574,31969,化学,否
2024,物理,华侨大学,04,A13304,565,38007,化学,否
2024,物理,华侨大学,05,A13305,584,25792,化学,否
2024,物理,山东大学,03,A13503,628,7356,不限,否
2024,物理,山东大学,04,A13504,630,6777,化学,否
2024,物理,山东大学,05,A13505,628,7356,化学,否
2024,物理,山东大学,06,A13506,615,11395,化学,是
2024,物理,山东大学,07,A13507,639,4710,化和生,否
2024,物理,中国海洋大学,05,A13705,607,14519,不限,是
2024,物理,中国海洋大学,06,A13706,616,11058,不限,否
2024,物理,中国海洋大学,07,A13707,609,13728,不限,是
2024,物理,中国海洋大学,08,A13708,620,9701,化学,否
2024,物理,中国海洋大学,09,A13709,604,15768,化学,否
2024,物理,中国海洋大学,10,A13710,618,10372,化学,否
2024,物理,中国海洋大学,11,A13711,606,14934,化学,否
2024,物理,中国海洋大学,12,A13712,598,18563,化学,否
2024,物理,中国海洋大学,13,A13713,612,12536,化学,否
