year,subject,school_name,school_type,group_id,group_code,xuanke_req,xuanke_subjects,plan_count,min_score,min_rank,tuition_yuan,city,is_special,data_source
,历史,韶关学院,普通,213,213组,不限,不限,0,523,40813,5500,其他,否,gk100 真实
,历史,韶关学院,普通,215,215组,不限,不限,0,523,40819,5500,其他,否,gk100 真实
,历史,广东石油化工学院,普通,211,211组,不限,不限,0,523,40832,5500,其他,否,gk100 真实
,历史,嘉应学院,普通,222,222组,不限,不限,0,523,40860,5500,其他,否,gk100 真实
,历史,韩山师范学院,普通,206,206组,不限,不限,0,523,40931,5500,其他,否,gk100 真实
,历史,嘉应学院,普通,228,228组,不限,不限,0,523,40982,5500,其他,否,gk100 真实
,历史,韩山师范学院,普通,210,210组(协同培养),不限,不限,0,522,41192,5500,其他,否,gk100 真实
,历史,肇庆学院,普通,207,207组,不限,不限,0,522,41202,5500,其他,否,gk100 真实
,历史,韶关学院,普通,220,220组,不限,不限,0,522,41432,5500,其他,否,gk100 真实
,历史,韶关学院,普通,214,214组,不限,不限,0,522,41433,5500,其他,否,gk100 真实
,历史,韩山师范学院,普通,204,204组,不限,不限,0,522,41649,5500,其他,否,gk100 真实
,历史,嘉应学院,普通,223,223组,不限,不限,0,522,41650,5500,其他,否,gk100 真实
,历史,韩山师范学院,普通,207,207组,不限,不限,0,521,41819,5500,其他,否,gk100 真实
,历史,韩山师范学院,普通,209,209组,不限,不限,0,521,41831,5500,其他,否,gk100 真实
,历史,韩山师范学院,普通,205,205组,不限,不限,0,521,41877,5500,其他,否,gk100 真实
,历史,广东石油化工学院,普通,210,210组,不限,不限,0,521,42071,5500,其他,否,gk100 真实
,历史,韶关学院,普通,221,221组,不限,不限,0,521,42182,5500,其他,否,gk100 真实
,历史,嘉应学院,普通,229,229组,不限,不限,0,520,42428,5500,其他,否,gk100 真实
,历史,嘉应学院,普通,230,230组,不限,不限,0,520,42434,5500,其他,否,gk100 真实
,历史,广东药科大学,普通,213,213组,不限,不限,0,520,42626,5500,其他,否,gk100 真实
,历史,韩山师范学院,普通,203,203组,不限,不限,0,520,42767,5500,其他,否,gk100 真实
,历史,嘉应学院,普通,227,227组,不限,不限,0,520,42799,5500,其他,否,gk100 真实
,历史,嘉应学院,普通,225,225组,不限,不限,0,519,43455,5500,其他,否,gk100 真实
,历史,广东第二师范学院,普通,233,233组（学分互认）,不限,不限,0,519,43540,5500,其他,否,gk100 真实
,历史,佛山大学,普通,223,223组（粤澳联合）,不限,不限,0,518,43964,5500,其他,否,gk100 真实
,历史,广东第二师范学院,普通,232,232组（学分互认）,不限,不限,0,518,44510,5500,其他,否,gk100 真实
,历史,广东金融学院,普通,216,216组（联合培养）,不限,不限,0,518,44540,5500,其他,否,gk100 真实
,历史,广东药科大学,普通,212,212组（国际班）,不限,不限,0,517,44719,5500,其他,否,gk100 真实
,历史,广东技术师范大学,普通,245,245组（国际班）,不限,不限,0,517,44844,5500,其他,否,gk100 真实
,历史,韶关学院,普通,216,216组(学分互认),不限,不限,0,517,44951,5500,其他,否,gk100 真实
,历史,韶关学院,普通,217,217组（学分互认）,不限,不限,0,517,45039,5500,其他,否,gk100 真实
,历史,广州航海学院,普通,212,212组（联合培养）,不限,不限,0,516,45432,5500,其他,否,gk100 真实
,历史,广东技术师范大学,普通,246,246组（国际班）,不限,不限,0,513,47743,5500,其他,否,gk100 真实
,历史,嘉应学院,普通,231,231组(联合培养),不限,不限,0,513,47835,5500,其他,否,gk100 真实
,历史,珠海科技学院,普通,207,207组,不限,不限,0,513,48067,5500,其他,否,gk100 真实
,历史,肇庆学院,普通,202,202组(联合培养）,不限,不限,0,513,48107,5500,其他,否,gk100 真实
,历史,肇庆学院,普通,206,206组（联合培养）,不限,不限,0,512,48338,5500,其他,否,gk100 真实
,历史,嘉应学院,普通,232,232组（联合培养）,不限,不限,0,512,48345,5500,其他,否,gk100 真实
,历史,广东技术师范大学,普通,247,247组（国际班）,不限,不限,0,512,48476,5500,其他,否,gk100 真实
,历史,肇庆医学院,普通,205,205组,不限,不限,0,507,52014,5500,其他,否,gk100 真实
,历史,广州城市理工学院,普通,204,204组,不限,不限,0,507,52460,5500,其他,否,gk100 真实
,历史,惠州学院,普通,213,213组（联合培养）,不限,不限,0,504,54539,5500,其他,否,gk100 真实
,历史,广东第二师范学院,普通,234,234组(学分互认）,不限,不限,0,504,54859,5500,其他,否,gk100 真实
,历史,广东第二师范学院,普通,234,234组(学分互认),不限,不限,0,504,54859,5500,其他,否,gk100 真实
,历史,广州新华学院,普通,201,201组,不限,不限,0,504,55151,5500,其他,否,gk100 真实
,历史,广州新华学院,普通,202,202组,不限,不限,0,503,55335,5500,其他,否,gk100 真实
,历史,韩山师范学院,普通,212,212组(联合培养）,不限,不限,0,502,56071,5500,其他,否,gk100 真实
,历史,电子科技大学中山学院,普通,205,205组,不限,不限,0,501,57314,5500,其他,否,gk100 真实
,历史,电子科技大学中山学院,普通,209,209组,不限,不限,0,501,57328,5500,其他,否,gk100 真实
,历史,广东白云学院,普通,218,218组,不限,不限,0,498,59979,5500,其他,否,gk100 真实
,历史,广东白云学院,普通,219,219组,不限,不限,0,495,62344,5500,其他,否,gk100 真实
,历史,广东外语外贸大学南国商学院,普通,211,211组,不限,不限,0,495,62487,5500,其他,否,gk100 真实
,历史,广东外语外贸大学南国商学院,普通,213,213组,不限,不限,0,494,62918,5500,其他,否,gk100 真实
,历史,五邑大学,普通,214,214组(联合培养),不限,不限,0,493,63797,5500,其他,否,gk100 真实
,历史,广东外语外贸大学南国商学院,普通,212,212组,不限,不限,0,493,64001,5500,其他,否,gk100 真实
,历史,广东第二师范学院,普通,235,235组(学分互认),不限,不限,0,493,64188,5500,其他,否,gk100 真实
,历史,广东东软学院,普通,219,219组,不限,不限,0,491,65111,5500,其他,否,gk100 真实
,历史,广东白云学院,普通,220,220组,不限,不限,0,491,65744,5500,其他,否,gk100 真实
,历史,广东白云学院,普通,226,226组,不限,不限,0,488,68547,5500,其他,否,gk100 真实
,历史,广州南方学院,普通,203,203组,不限,不限,0,488,68569,5500,其他,否,gk100 真实
,历史,广州南方学院,普通,201,201组,不限,不限,0,487,68870,5500,其他,否,gk100 真实
,历史,惠州学院,普通,214,214组(中外合作),不限,不限,0,487,69259,5500,其他,否,gk100 真实
,历史,广东外语外贸大学南国商学院,普通,215,215组,不限,不限,0,487,69431,5500,其他,否,gk100 真实
,历史,广东外语外贸大学南国商学院,普通,214,214组,不限,不限,0,486,69814,5500,其他,否,gk100 真实
,历史,广州商学院,普通,201,201组,不限,不限,0,486,70224,5500,其他,否,gk100 真实
,历史,广东东软学院,普通,220,220组,不限,不限,0,485,70952,5500,其他,否,gk100 真实
,历史,广东东软学院,普通,221,221组,不限,不限,0,485,71229,5500,其他,否,gk100 真实
,历史,广东东软学院,普通,222,222组,不限,不限,0,484,71483,5500,其他,否,gk100 真实
,历史,广州软件学院,普通,218,218组(联合培养),不限,不限,0,484,71943,5500,其他,否,gk100 真实
,历史,广东白云学院,普通,224,224组,不限,不限,0,484,72037,5500,其他,否,gk100 真实
,历史,广州应用科技学院,普通,202,202组,不限,不限,0,484,72116,5500,其他,否,gk100 真实
,历史,广东白云学院,普通,222,222组,不限,不限,0,482,74063,5500,其他,否,gk100 真实
,历史,广州应用科技学院,普通,203,203组,不限,不限,0,481,74319,5500,其他,否,gk100 真实
,历史,广州软件学院,普通,220,220组,不限,不限,0,481,74715,5500,其他,否,gk100 真实
,历史,广州商学院,普通,203,203组,不限,不限,0,481,74877,5500,其他,否,gk100 真实
,历史,广东白云学院,普通,223,223组,不限,不限,0,480,75551,5500,其他,否,gk100 真实
,历史,广东东软学院,普通,223,223组,不限,不限,0,480,75816,5500,其他,否,gk100 真实
,历史,广州南方学院,普通,202,202组,不限,不限,0,480,76004,5500,其他,否,gk100 真实
,历史,广东科技学院,普通,203,203组(联合培养),不限,不限,0,478,77336,5500,其他,否,gk100 真实
,历史,广州软件学院,普通,216,216组,不限,不限,0,478,77621,5500,其他,否,gk100 真实
,历史,广东白云学院,普通,221,221组,不限,不限,0,477,78693,5500,其他,否,gk100 真实
,历史,广东培正学院,普通,206,206组,不限,不限,0,476,79562,5500,其他,否,gk100 真实
,历史,广州科技职业技术大学,普通,201,201组,不限,不限,0,475,80134,5500,其他,否,gk100 真实
,历史,广州应用科技学院,普通,205,205组,不限,不限,0,474,80966,5500,其他,否,gk100 真实
,历史,广东外语外贸大学南国商学院,普通,231,231组(国际班),不限,不限,0,474,81376,5500,其他,否,gk100 真实
,历史,广州软件学院,普通,219,219组,不限,不限,0,473,81957,5500,其他,否,gk100 真实
,历史,广州科技职业技术大学,普通,209,209组(校企联合培养),不限,不限,0,472,82818,5500,其他,否,gk100 真实
,历史,广东培正学院,普通,205,205组,不限,不限,0,472,83044,5500,其他,否,gk100 真实
,历史,广东培正学院,普通,207,207组(学分互认）,不限,不限,0,469,86084,5500,其他,否,gk100 真实
,历史,广东科技学院,普通,202,202组(联合培养),不限,不限,0,468,86804,5500,其他,否,gk100 真实
,历史,广州南方学院,普通,206,206组(联合培养),不限,不限,0,468,87241,5500,其他,否,gk100 真实
,历史,东莞城市学院,普通,204,204组,不限,不限,0,468,87477,5500,其他,否,gk100 真实
,历史,东莞城市学院,普通,205,205组,不限,不限,0,467,87628,5500,其他,否,gk100 真实
,历史,广州华商学院,普通,202,202组,不限,不限,0,467,87849,5500,其他,否,gk100 真实
,历史,广州华立学院,普通,209,209组(联合培养),不限,不限,0,467,88338,5500,其他,否,gk100 真实
,历史,东莞城市学院,普通,202,202组(联合培养),不限,不限,0,467,88401,5500,其他,否,gk100 真实
,历史,华南农业大学珠江学院,普通,201,201组,不限,不限,0,464,90806,5500,其他,否,gk100 真实
,历史,广东理工学院,普通,203,203组,不限,不限,0,464,90817,5500,其他,否,gk100 真实
,历史,湛江科技学院,普通,206,206组,不限,不限,0,464,90861,5500,其他,否,gk100 真实
,历史,广州应用科技学院,普通,208,208组,不限,不限,0,464,90979,5500,其他,否,gk100 真实
,历史,广州工商学院,普通,204,204组,不限,不限,0,464,91000,5500,其他,否,gk100 真实
,历史,广州华商学院,普通,203,203组(国际班),不限,不限,0,464,91010,5500,其他,否,gk100 真实
,历史,广州工商学院,普通,203,203组,不限,不限,0,464,91044,5500,其他,否,gk100 真实
,历史,广东理工学院,普通,212,212组,不限,不限,0,464,91139,5500,其他,否,gk100 真实
,历史,广州南方学院,普通,204,204组,不限,不限,0,464,91184,5500,其他,否,gk100 真实
,历史,广州工商学院,普通,206,206组,不限,不限,0,464,91298,5500,其他,否,gk100 真实
,历史,广州华立学院,普通,211,211组,不限,不限,0,464,91363,5500,其他,否,gk100 真实
