year,subject,school_name,batch,kind,min_score,min_rank,group_id,group_name,xuanke_req
2024,历史,黄冈职业技术学院,高职高专批,专本联合培养,422,49169,06,第06组,不限
2024,历史,湖北大学,本科批,普通类,571,5644,01,第01组,不限
2024,历史,湖北大学,本科批,普通类,569,5973,02,第02组,不限
2024,历史,湖北大学,本科批,普通类,568,6159,03,第03组,地
2024,历史,湖北大学,本科批,普通类,570,5797,04,第04组,政
2024,历史,湖北大学,本科批,普通类,544,10670,05,第05组,政
2024,历史,湖北大学,本科批,国家专项计划,563,6995,06,第06组,不限
2024,历史,湖北大学,本科批,国家专项计划,573,5332,07,第07组,不限
2024,历史,武汉警官职业学院,高职高专批,普通类,390,62826,05,第05组,不限
2024,历史,武汉警官职业学院,高职高专批,专本联合培养,422,49169,06,第06组,不限
2024,历史,武汉警官职业学院,高职高专批,专本联合培养,422,49169,07,第07组,不限
2024,历史,荆州学院,高职高专批,普通类,252,117490,06,第06组,不限
2024,历史,襄阳汽车职业技术学院,高职高专批,乡村振兴,268,113964,01,第01组,不限
2024,历史,襄阳汽车职业技术学院,高职高专批,普通类,325,93092,02,第02组,不限
2024,历史,湖北工业职业技术学院,高职高专批,乡村振兴,286,108597,01,第01组,不限
2024,历史,湖北工业职业技术学院,高职高专批,普通类,349,81920,02,第02组,不限
2024,历史,湖北工业职业技术学院,高职高专批,普通类,312,98836,03,第03组,不限
2024,历史,湖北工业职业技术学院,高职高专批,普通类,257,116472,04,第04组,不限
2024,历史,湖北工业职业技术学院,高职高专批,普通类,311,99225,05,第05组,不限
2024,历史,湖北工业职业技术学院,高职高专批,普通类,362,75755,06,第06组,不限
2024,历史,湖北工业职业技术学院,高职高专批,专本联合培养,422,49169,07,第07组,不限
2024,历史,湖北轻工职业技术学院,高职高专批,普通类,371,71448,01,第01组,不限
2024,历史,湖北轻工职业技术学院,高职高专批,普通类,312,98836,02,第02组,不限
2024,历史,湖北轻工职业技术学院,高职高专批,专本联合培养,422,49169,03,第03组,不限
2024,历史,湖北理工学院,本科批,普通类,493,24028,432,,（02）
2024,历史,武汉光谷职业学院,高职高专批,普通类,289,107577,01,第01组,不限
2024,历史,武汉轻工大学,本科批,普通类,533,13193,01,第01组,不限
2024,历史,武汉轻工大学,本科批,普通类,506,20200,02,第02组,不限
2024,历史,武汉轻工大学,本科批,国家专项计划,531,13646,03,第03组,不限
2024,历史,武汉轻工大学,本科批,地方专项计划,531,13646,04,第04组,不限
2024,历史,荆门通用航空职业技术学院,高职高专批,普通类,310,99648,01,第01组,不限
2024,历史,湖北工程学院,本科批,普通类,500,21955,432,,（02）
2024,历史,武汉软件工程职业学院,高职高专批,乡村振兴,404,56583,01,第01组,不限
2024,历史,武汉软件工程职业学院,高职高专批,普通类,421,49550,02,第02组,不限
2024,历史,武汉软件工程职业学院,高职高专批,普通类,418,50794,03,第03组,不限
2024,历史,武汉软件工程职业学院,高职高专批,普通类,420,49951,04,第04组,不限
2024,历史,武汉软件工程职业学院,高职高专批,普通类,380,67358,05,第05组,不限
2024,历史,武汉软件工程职业学院,高职高专批,普通类,349,81920,06,第06组,不限
2024,历史,湖北三峡职业技术学院,高职高专批,乡村振兴,306,101236,01,第01组,不限
2024,历史,湖北三峡职业技术学院,高职高专批,面向当地村医计划,394,60975,02,第02组,不限
2024,历史,湖北三峡职业技术学院,高职高专批,普通类,375,69628,03,第03组,不限
2024,历史,湖北三峡职业技术学院,高职高专批,普通类,418,50794,04,第04组,不限
2024,历史,湖北三峡职业技术学院,高职高专批,普通类,385,65108,05,第05组,不限
2024,历史,湖北三峡职业技术学院,高职高专批,专本联合培养,422,49169,06,第06组,不限
2024,历史,湖北三峡职业技术学院,高职高专批,专本联合培养,435,44079,07,第07组,不限
2024,历史,长江大学,本科批,普通类,538,12008,01,第01组,不限
2024,历史,长江大学,本科批,普通类,543,10926,02,第02组,不限
2024,历史,长江大学,本科批,国家专项计划,536,12476,03,第03组,不限
2024,历史,长江大学,本科批,地方专项计划,534,12945,04,第04组,不限
2024,历史,长江大学,本科批,普通类,547,10005,05,第05组,政
2024,历史,湖北大学知行学院,本科批,普通类,472,30639,432,,（01）
2024,历史,湖北文理学院,本科批,普通类,506,20200,01,,首选历史，再选不限
2024,历史,湖北文理学院,本科批,普通类,505,20499,03,,首选历史，再选不限
2024,历史,湖北文理学院,本科批,普通类,503,21098,06,,首选历史，再选地理
2024,历史,湖北文理学院,本科批,普通类,467,32349,02,,首选历史，再选不限
2024,历史,湖北文理学院,本科批,地方专项计划,506,20200,04,,首选历史，再选不限
2024,历史,湖北文理学院,本科批,民族班,478,28654,05,,首选历史，再选不限
2024,历史,湖北第二师范学院,本科批,普通类,525,15178,432,,（02）
2024,历史,武汉晴川学院,高职高专批,普通类,309,100064,04,第04组,不限
2024,历史,鄂州职业大学,高职高专批,乡村振兴,346,83315,01,第01组,不限
2024,历史,鄂州职业大学,高职高专批,普通类,356,78519,02,第02组,不限
2024,历史,鄂州职业大学,高职高专批,普通类,383,66018,03,第03组,不限
2024,历史,鄂州职业大学,高职高专批,普通类,389,63262,04,第04组,不限
2024,历史,鄂州职业大学,高职高专批,普通类,317,96677,05,第05组,不限
2024,历史,鄂州职业大学,高职高专批,专本联合培养,422,49169,06,第06组,不限
2024,历史,鄂州职业大学,高职高专批,专本联合培养,422,49169,07,第07组,不限
2024,历史,鄂州职业大学,高职高专批,专本联合培养,422,49169,08,第08组,不限
2024,历史,湖北工业大学,本科批,普通类,559,7693,01,第01组,不限
2024,历史,湖北工业大学,本科批,国家专项计划,552,9000,02,第02组,不限
2024,历史,湖北工业大学,本科批,地方专项计划,551,9214,03,第03组,不限
2024,历史,武汉商学院,本科批,普通类,517,75276,437,,（05）
2024,历史,武汉科技职业学院,高职高专批,普通类,293,106226,01,第01组,不限
2024,历史,湖北科技学院,本科批,普通类,496,23113,432,,（01）
2024,历史,华中农业大学,本科批,普通类,580,4361,01,第01组,不限
2024,历史,华中农业大学,本科批,普通类,569,5973,02,第02组,不限
2024,历史,湖北经济学院,本科批,普通类,535,12714,432,,（02）
2024,历史,武汉体育学院体育科技学院,高职高专批,普通类,299,104024,04,第04组,不限
2024,历史,湖北体育职业学院,高职高专批,普通类,340,86097,01,第01组,不限
2024,历史,湖北中医药高等专科学校,高职高专批,面向当地村医计划,379,67823,01,第01组,不限
2024,历史,湖北中医药高等专科学校,高职高专批,普通类,389,63262,02,第02组,不限
2024,历史,湖北中医药高等专科学校,高职高专批,普通类,404,56583,03,第03组,不限
2024,历史,湖北中医药高等专科学校,高职高专批,普通类,394,60975,04,第04组,不限
