school_name,group_code,min_score,min_rank,subject,xuanke_req,is_special,year,plan_count
广州南方学院,205组(联合培养),464,91580,历史,不限,否,2025,0
广州应用科技学院,209组(联合培养),464,91590,历史,不限,否,2025,0
广东科技学院,201组,464,91596,历史,不限,否,2025,0
广州应用科技学院,207组,464,91600,历史,不限,否,2025,0
广东理工学院,202组,464,91604,历史,不限,否,2025,0
广州工商学院,205组,464,91614,历史,不限,否,2025,0
湛江科技学院,204组,464,91622,历史,不限,否,2025,0
华南农业大学珠江学院,208组,464,91633,历史,不限,否,2025,0
广州华商学院,201组,464,91635,历史,不限,否,2025,0
广州华立学院,210组,464,91636,历史,不限,否,2025,0
广州工商学院,201组,464,91638,历史,不限,否,2025,0
广东工商职业技术大学,204组,464,91641,历史,不限,否,2025,0
华南农业大学珠江学院,202组,464,91648,历史,不限,否,2025,0
广州商学院,202组(中外合作),464,91650,历史,不限,否,2025,0
广州理工学院,203组,464,91652,历史,不限,否,2025,0
东莞城市学院,203组,464,91654,历史,不限,否,2025,0
广东技术师范大学,248组(少数民族班),424,133860,历史,不限,否,2025,0
