year,subject,school_name,school_type,group_id,xuanke_req,xuanke_subjects,plan_count,min_score,min_rank,tuition_yuan,city,is_special,data_source
2024,历史,江汉大学,普通,2,不限,历史,30,546,10229,5500,武汉,否,MinerU Flash
2024,历史,三峡大学,普通,5,不限,历史,30,536,12476,5500,宜昌,是,MinerU Flash
2024,历史,武汉体育学院,普通,2,不限,历史,30,507,19911,5500,武汉,否,MinerU Flash
2024,历史,武汉体育学院,普通,1,不限,历史,30,503,21098,5500,武汉,否,MinerU Flash
2024,历史,三峡大学,普通,6,不限,历史,30,534,12945,5500,宜昌,是,MinerU Flash
2024,历史,三峡大学,普通,4,不限,历史,30,539,11783,5500,宜昌,是,MinerU Flash
2024,历史,三峡大学,普通,3,不限,历史,30,534,12945,5500,宜昌,否,MinerU Flash
2024,历史,三峡大学第02组N,普通,2,不限,历史,30,527,14666,5500,其他,否,MinerU Flash
2024,历史,湖北科技学院,普通,3,不限,历史,30,496,23113,5500,咸宁,是,MinerU Flash
2024,历史,湖北科技学院,普通,4,地理,历史|地理,30,495,23413,5500,咸宁,否,MinerU Flash
2024,历史,湖北经济学院,普通,2,不限,历史,30,535,12714,5500,武汉,否,MinerU Flash
2024,历史,湖北工程学院,普通,2,政治,历史|政治,30,500,21955,5500,孝感,否,MinerU Flash
2024,历史,湖北工程学院,普通,1,不限,历史,30,495,23413,5500,孝感,否,MinerU Flash
2024,历史,防灾科技学院,普通,2,不限,历史,30,494,23724,5500,其他,否,MinerU Flash
2024,历史,西北民族大学,普通,9,不限,历史,30,497,22848,5500,其他,是,MinerU Flash
2024,历史,中国石油大学(北京),普通,1,不限,历史,30,582,4120,5500,其他,否,MinerU Flash
2024,历史,中国矿业大学(北京),211,1,不限,历史,30,578,4652,5500,其他,否,MinerU Flash
2024,历史,北方民族大学,普通,4,政治,历史|政治,30,525,15178,5500,其他,否,MinerU Flash
2024,历史,北方民族大学,普通,3,不限,历史,30,513,18274,5500,其他,否,MinerU Flash
2024,历史,北方民族大学,普通,2,不限,历史,30,511,18814,5500,其他,否,MinerU Flash
2024,历史,北方民族大学,普通,1,不限,历史,30,493,24028,5500,其他,是,MinerU Flash
2024,历史,华北科技学院,普通,1,不限,历史,30,501,21646,5500,其他,否,MinerU Flash
2024,历史,西北民族大学第组,普通,11,政治,历史|政治,30,530,13882,5500,其他,否,MinerU Flash
2024,历史,西北民族大学,普通,10,不限,历史,30,528,14431,5500,其他,是,MinerU Flash
2024,历史,西北民族大学,普通,8,不限,历史,30,513,18274,5500,其他,否,MinerU Flash
2024,历史,中国地质大学(北京),普通,1,不限,历史,30,583,4012,5500,其他,否,MinerU Flash
2024,历史,西北民族大学,普通,6,不限,历史,30,480,28000,5500,其他,否,MinerU Flash
2024,历史,西北民族大学,普通,5,不限,历史,30,523,15718,5500,其他,否,MinerU Flash
2024,历史,西北民族大学,普通,4,不限,历史,30,503,21098,5500,其他,否,MinerU Flash
2024,历史,西北民族大学,普通,3,不限,历史,30,501,21646,5500,其他,否,MinerU Flash
2024,历史,西北民族大学,普通,1,不限,历史,30,496,23113,5500,其他,是,MinerU Flash
2024,历史,兰州大学,985,2,政治,历史|政治,30,595,2643,5500,其他,否,MinerU Flash
2024,历史,兰州大学,985,1,不限,历史,30,592,2951,5500,其他,否,MinerU Flash
2024,历史,陕西师范大学,普通,15,不限,历史,30,585,3748,5500,其他,是,MinerU Flash
2024,历史,湖北经济学院,普通,4,不限,历史,30,511,18814,5500,武汉,是,MinerU Flash
2024,历史,中国石油大学(北京),普通,2,政治,历史|政治,30,587,3508,5500,其他,否,MinerU Flash
2024,历史,中国地质大学(北京),普通,2,不限,历史,30,586,3616,5500,其他,否,MinerU Flash
2024,历史,哈尔滨工业大学(威海）,985,1,不限,历史,30,602,2002,5500,其他,否,MinerU Flash
2024,历史,湖北警官学院,普通,7,否限,历史,30,521,16245,5500,其他,否,MinerU Flash
2024,历史,西南大学（荣昌校区）,211,1,不限,历史,30,579,4503,5500,其他,否,MinerU Flash
2024,历史,山东大学威海分校,普通,2,不限,历史,30,587,3508,5500,其他,是,MinerU Flash
2024,历史,中国石油大学(北京)克拉玛依校区,普通,1,不限,历史,30,562,7148,5500,其他,否,MinerU Flash
