school_name,group_code,min_score,min_rank,subject,xuanke_req,is_special,year,plan_count
湖北警官学院,第09组,527,63235,物理,不限,否,2025,0
江汉大学,第16组,527,63235,物理,不限,否,2025,0
湖北文理学院,第13组,527,63235,物理,不限,否,2025,0
武汉工程大学,第08组（中外合作）,526,64103,物理,不限,否,2025,0
长江大学,第19组（中外合作）,525,64972,物理,不限,否,2025,0
江汉大学,第11组,525,64972,物理,不限,否,2025,0
湖北科技学院,第07组,524,65841,物理,不限,否,2025,0
武汉轻工大学,第05组,524,65841,物理,不限,否,2025,0
长江大学,第10组,523,66709,物理,不限,否,2025,0
长江大学,第12组,523,66709,物理,不限,否,2025,0
长江大学,第20组（国家专项）,523,66709,物理,不限,否,2025,0
武汉轻工大学,第07组,523,66709,物理,不限,否,2025,0
湖北师范大学,第09组,523,66709,物理,不限,否,2025,0
湖北警官学院,第08组,522,67578,物理,不限,否,2025,0
湖北大学,第23组（中外合作）,522,67578,物理,不限,否,2025,0
长江大学,第08组,522,67578,物理,不限,否,2025,0
湖北经济学院,第12组,522,67578,物理,不限,否,2025,0
湖北工业大学,第10组（中外合作）,522,67578,物理,不限,否,2025,0
长江大学,第21组（地方专项）,521,68447,物理,不限,否,2025,0
长江大学,第18组,520,69316,物理,不限,否,2025,0
湖北科技学院,第08组,520,69316,物理,不限,否,2025,0
武汉轻工大学,第12组（地方专项）,520,69316,物理,不限,否,2025,0
湖北中医药大学,第16组（国家专项）,520,69316,物理,不限,否,2025,0
武汉轻工大学,第11组（国家专项）,519,70175,物理,不限,否,2025,0
湖北第二师范学院,第12组,518,71035,物理,不限,否,2025,0
三峡大学,第13组（预科班）,517,71895,物理,不限,否,2025,0
湖北师范大学,第07组,516,72754,物理,不限,否,2025,0
湖北第二师范学院,第14组,516,72754,物理,不限,否,2025,0
湖北第二师范学院,第11组,515,73614,物理,不限,否,2025,0
湖北理工学院,第07组,514,74474,物理,不限,否,2025,0
湖北经济学院,第10组,513,75333,物理,不限,否,2025,0
湖北师范大学,第08组,513,75333,物理,不限,否,2025,0
湖北第二师范学院,第08组,513,75333,物理,不限,否,2025,0
湖北第二师范学院,第10组,513,75333,物理,不限,否,2025,0
武汉商学院,第04组,513,75333,物理,不限,否,2025,0
湖北中医药大学,第12组,512,76193,物理,不限,否,2025,0
湖北师范大学,第11组（地方专项）,512,76193,物理,不限,否,2025,0
湖北第二师范学院,第18组（地方专项）,512,76193,物理,不限,否,2025,0
荆楚理工学院,第05组,511,77053,物理,不限,否,2025,0
武汉体育学院,第04组,510,77913,物理,不限,否,2025,0
武汉轻工大学,第09组（中外合作）,510,77913,物理,不限,否,2025,0
湖北理工学院,第09组,509,78789,物理,不限,否,2025,0
黄冈师范学院,第16组,508,79666,物理,不限,否,2025,0
湖北汽车工业学院,第04组,508,79666,物理,不限,否,2025,0
湖北中医药大学,第13组,508,79666,物理,不限,否,2025,0
湖北中医药大学,第18组（地方专项）,508,79666,物理,不限,否,2025,0
湖北理工学院,第18组（地方专项）,508,79666,物理,不限,否,2025,0
武汉体育学院,第02组,507,80542,物理,不限,否,2025,0
湖北第二师范学院,第17组（地方专项）,507,80542,物理,不限,否,2025,0
武汉商学院,第05组,507,80542,物理,不限,否,2025,0
湖北文理学院,第10组,506,81419,物理,不限,否,2025,0
湖北经济学院,第17组（国家专项）,506,81419,物理,不限,否,2025,0
湖北文理学院,第08组,505,82295,物理,不限,否,2025,0
湖北经济学院,第11组,505,82295,物理,不限,否,2025,0
湖北第二师范学院,第13组,505,82295,物理,不限,否,2025,0
