school_code,school_name,group_code,group_id,xuanke_req,plan_count,admitted,min_score,min_rank,year,subject,is_special
2204,浙江工业大学,01,01,不限,30,0,588,7467,2024,历史,否
2205,中国美术学院,01,01,不限,30,0,586,7600,2024,历史,否
2206,浙江师范大学,01,01,不限,30,0,569,14036,2024,历史,否
2207,浙江工商大学,01,01,不限,30,0,567,14250,2024,历史,否
2209,杭州师范大学,01,01,不限,30,0,565,14464,2024,历史,否
2211,浙江传媒学院,02,02,不限,30,0,553,21131,2024,历史,否
2211,浙江传媒学院,03,03,不限,30,0,536,28114,2024,历史,否
2212,浙江科技大学,01,01,不限,30,0,539,27600,2024,历史,否
2213,浙江财经大学,02,02,不限,30,0,570,13928,2024,历史,否
2214,浙江农林大学,01,01,不限,30,0,549,21706,2024,历史,否
2214,浙江农林大学,02,02,不限,30,0,551,21419,2024,历史,否
2216,浙江中医药大学,01,01,不限,30,0,553,21131,2024,历史,否
2216,浙江中医药大学,02,02,化学,30,0,478,97680,2024,历史,否
2221,宁波大学,01,01,不限,30,0,589,7400,2024,历史,否
2221,宁波大学,02,02,不限,30,0,595,7000,2024,历史,否
2228,温州大学,01,01,不限,30,0,555,20844,2024,历史,否
2231,嘉兴大学,01,01,不限,30,0,543,22568,2024,历史,否
2240,浙江外国语学院,02,02,不限,30,0,540,23000,2024,历史,否
2249,浙大城市学院,01,01,不限,30,0,545,22281,2024,历史,否
2261,湖州师范学院,01,01,不限,30,0,544,22425,2024,历史,否
2268,丽水学院,01,01,不限,30,0,521,44750,2024,历史,否
2268,丽水学院,02,02,思想政治,30,0,534,28457,2024,历史,否
2275,湖州学院,01,01,不限,30,0,519,45250,2024,历史,否
2277,嘉兴南湖学院,01,01,不限,30,0,534,28457,2024,历史,否
2302,合肥工业大学,01,01,不限,30,0,587,7533,2024,历史,否
2302,合肥工业大学,02,02,思想政治,30,0,593,7133,2024,历史,否
2303,安徽大学,01,01,不限,30,0,587,7533,2024,历史,否
2304,安徽医科大学,01,01,不限,30,0,554,20987,2024,历史,否
2304,安徽医科大学,02,02,化学,30,0,478,97680,2024,历史,否
2305,安徽建筑大学,01,01,不限,30,0,542,22712,2024,历史,否
2306,安徽农业大学,01,01,不限,30,0,550,21562,2024,历史,否
2309,安徽师范大学,02,02,不限,30,0,551,21419,2024,历史,否
2309,安徽师范大学,03,03,思想政治,30,0,578,13072,2024,历史,否
2321,安徽财经大学,01,01,不限,30,0,554,20987,2024,历史,否
2321,安徽财经大学,02,02,不限,30,0,556,20700,2024,历史,否
2327,合肥大学,01,01,不限,30,0,541,22856,2024,历史,否
2331,阜阳师范大学,01,01,不限,30,0,528,29485,2024,历史,否
2332,蚌埠医科大学,01,01,化学,30,0,478,97680,2024,历史,否
2342,宿州学院,01,01,不限,30,0,530,29143,2024,历史,否
2342,宿州学院,02,02,地理,30,0,527,29657,2024,历史,否
2343,安庆师范大学,01,01,不限,30,0,533,28628,2024,历史,否
2348,池州学院,01,01,不限,30,0,518,45500,2024,历史,否
2351,淮北师范大学,01,01,不限,30,0,541,22856,2024,历史,否
2351,淮北师范大学,02,02,思想政治,30,0,554,20987,2024,历史,否
2351,淮北师范大学,03,03,思想政治和地理,30,0,541,22856,2024,历史,否
2356,铜陵学院,01,01,不限,30,0,531,28971,2024,历史,否
2359,合肥师范学院,01,01,不限,30,0,509,47750,2024,历史,否
2361,安徽工业大学,01,01,不限,30,0,549,21706,2024,历史,否
2362,淮南师范学院,01,01,不限,30,0,520,45000,2024,历史,否
2367,巢湖学院,01,01,不限,30,0,513,46750,2024,历史,否
2372,滁州学院,01,01,不限,30,0,517,45750,2024,历史,否
2381,黄山学院,02,02,不限,30,0,512,47000,2024,历史,否
2383,合肥工业大学(宣城校区),01,01,不限,30,0,586,7600,2024,历史,否
2383,合肥工业大学(宣城校区),02,02,思想政治,30,0,580,8000,2024,历史,否
2401,福州大学,01,01,不限,30,0,587,7533,2024,历史,否
2410,三明学院,01,01,不限,30,0,513,46750,2024,历史,否
2411,厦门大学,01,01,不限,30,0,632,510,2024,历史,否
2411,厦门大学,02,02,不限,30,0,628,540,2024,历史,否
2411,厦门大学,03,03,思想政治,30,0,628,540,2024,历史,否
2412,集美大学,01,01,不限,30,0,553,21131,2024,历史,否
2413,厦门理工学院,01,01,不限,30,0,537,27943,2024,历史,否
2421,莆田学院,01,01,不限,30,0,515,46250,2024,历史,否
2422,华侨大学,01,01,不限,30,0,553,21131,2024,历史,否
2422,华侨大学,02,02,思想政治,30,0,560,15000,2024,历史,否
2437,武夷学院,01,01,不限,30,0,512,47000,2024,历史,否
2448,闽南师范大学,01,01,不限,30,0,513,46750,2024,历史,否
2501,江西财经大学,01,01,不限,30,0,588,7467,2024,历史,否
2501,江西财经大学,02,02,不限,30,0,578,13072,2024,历史,否
2501,江西财经大学,03,03,不限,30,0,574,13500,2024,历史,否
2502,华东交通大学,01,01,不限,30,0,557,20556,2024,历史,否
2502,华东交通大学,02,02,不限,30,0,545,22281,2024,历史,否
2504,江西中医药大学,01,01,不限,30,0,536,28114,2024,历史,否
2504,江西中医药大学,02,02,生物,30,0,544,22425,2024,历史,否
2505,南昌大学,01,01,不限,30,0,581,7933,2024,历史,否
2506,南昌航空大学,01,01,不限,30,0,537,27943,2024,历史,否
2507,江西科技师范大学,01,01,不限,30,0,539,27600,2024,历史,否
2507,江西科技师范大学,02,02,不限,30,0,544,22425,2024,历史,否
2508,江西农业大学,01,01,不限,30,0,535,28286,2024,历史,否
2510,江西师范大学,02,02,不限,30,0,542,22712,2024,历史,否
2510,江西师范大学,03,03,思想政治,30,0,568,14143,2024,历史,否
2510,江西师范大学,04,04,地理,30,0,574,13500,2024,历史,否
2511,南昌工程学院,01,01,不限,30,0,515,46250,2024,历史,否
2512,江西警察学院,01,01,不限,30,0,539,27600,2024,历史,否
2521,江西理工大学,01,01,不限,30,0,536,28114,2024,历史,否
2523,赣南师范大学,01,01,不限,30,0,509,47750,2024,历史,否
2523,赣南师范大学,02,02,不限,30,0,531,28971,2024,历史,否
2523,赣南师范大学,03,03,不限,30,0,533,28628,2024,历史,否
2523,赣南师范大学,04,04,不限,30,0,537,27943,2024,历史,否
2523,赣南师范大学,05,05,思想政治,30,0,541,22856,2024,历史,否
2523,赣南师范大学,06,06,地理,30,0,536,28114,2024,历史,否
2527,新余学院,01,01,不限,30,0,515,46250,2024,历史,否
2531,景德镇陶瓷大学,01,01,不限,30,0,535,28286,2024,历史,否
2531,景德镇陶瓷大学,02,02,化学,30,0,478,97680,2024,历史,否
2542,萍乡学院,01,01,不限,30,0,510,47500,2024,历史,否
2543,南昌师范学院,01,01,不限,30,0,514,46500,2024,历史,否
2543,南昌师范学院,02,02,思想政治,30,0,516,46000,2024,历史,否
2551,宜春学院,01,01,不限,30,0,512,47000,2024,历史,否
2551,宜春学院,02,02,生物,30,0,509,47750,2024,历史,否
2551,宜春学院,03,03,思想政治,30,0,520,45000,2024,历史,否
2561,九江学院,01,01,不限,30,0,512,47000,2024,历史,否
2571,上饶师范学院,01,01,不限,30,0,512,47000,2024,历史,否
2571,上饶师范学院,02,02,思想政治,30,0,524,44000,2024,历史,否
2572,赣东学院,01,01,不限,30,0,512,47000,2024,历史,否
2573,赣南科技学院,01,01,不限,30,0,511,47250,2024,历史,否
2574,南昌医学院,01,01,生物,30,0,526,29828,2024,历史,否
2581,井冈山大学,01,01,不限,30,0,526,29828,2024,历史,否
2596,景德镇学院,01,01,不限,30,0,515,46250,2024,历史,否
2601,山东大学,01,01,不限,30,0,623,577,2024,历史,否
2602,济南大学,01,01,不限,30,0,546,22137,2024,历史,否
2602,济南大学,02,02,思想政治,30,0,563,14678,2024,历史,否
2605,山东中医药大学,01,01,不限,30,0,545,22281,2024,历史,否
2606,山东财经大学,01,01,不限,30,0,558,20413,2024,历史,否
2608,山东工艺美术学院,01,01,不限,30,0,510,47500,2024,历史,否
2609,山东交通学院,01,01,不限,30,0,531,28971,2024,历史,否
2610,齐鲁工业大学,01,01,不限,30,0,534,28457,2024,历史,否
2611,山东理工大学,01,01,不限,30,0,545,22281,2024,历史,否
2612,山东艺术学院,01,01,不限,30,0,511,47250,2024,历史,否
2621,中国海洋大学,02,02,不限,30,0,610,2250,2024,历史,否
2621,中国海洋大学,03,03,思想政治,30,0,609,2275,2024,历史,否
