school_code,school_name,group_code,group_id,plan_count,admitted,min_score,min_rank,year,subject,xuanke_req,is_special
10407,江西理工大学,201,01,7,7,512,31686,2024,历史,不限,否
10407,江西理工大学,202,02,24,24,520,27635,2024,历史,不限,否
10408,景德镇陶瓷大学,201,01,3,3,530,22820,2024,历史,不限,否
10408,景德镇陶瓷大学,202,02,1,1,513,31320,2024,历史,不限,否
10410,江西农业大学,202,02,4,4,512,31970,2024,历史,不限,否
10412,江西中医药大学,W201&gt;,01,3,3,524,25377,2024,历史,不限,否
10414,江西师范大学                           1,201,01,4,4,559,11687,2024,历史,不限,否
10414,江西师范大学                           X,202,02,69,69,530,22781,2024,历史,不限,否
10414,江西师范大学                         人,203,03,8,8,555,12860,2024,历史,不限,否
10414,江西师范大学                       &gt;,204,04,3,3,577,6845,2024,历史,不限,否
10414,江西师范大学             XV,212,12,3,3,520,27634,2024,历史,不限,否
10416,上饶师范学院            W,201,01,3,3,496,41638,2024,历史,不限,否
10416,上饶师范学院,202,02,4,4,498,40149,2024,历史,不限,否
10416,上饶师范学院      7,203,03,7,7,499,39824,2024,历史,不限,否
10416,上饶师范学院,204,04,6,6,499,39622,2024,历史,不限,否
10416,上饶师范学院,206,06,4,4,495,42075,2024,历史,不限,否
10416,上饶师范学院,207,07,3,3,501,38567,2024,历史,不限,否
10417,宜春学院,202,02,1,1,493,43448,2024,历史,不限,否
10417,宜春学院,203,03,3,3,493,43225,2024,历史,不限,否
10418,赣南师范大学,201,01,4,4,520,27397,2024,历史,不限,否
10418,赣南师范大学,202,02,16,16,525,25295,2024,历史,不限,否
10418,赣南师范大学,203,03,4,4,522,26393,2024,历史,不限,否
10418,赣南师范大学,2047,47,4,4,490,45534,2024,历史,不限,否
10418,赣南师范大学,205,05,30,4,517,28841,2024,历史,不限,否
10418,赣南师范大学,206,06,4,4,535,20704,2024,历史,不限,否
10418,赣南师范大学,207,07,5,5,536,20109,2024,历史,不限,否
10418,赣南师范大学,222,22,4,4,498,40429,2024,历史,不限,否
10419,井冈山大学,201,01,11,11,510,32769,2024,历史,不限,否
10421,江西财经大学                       &gt;&gt;,201,01,1,1,544,16716,2024,历史,不限,否
10421,江西财经大学                        K,202,02,27,27,551,14147,2024,历史,不限,否
10421,江西财经大学                             ?,210,10,33,33,547,15615,2024,历史,不限,否
10422,山东大学,201,01,32,32,603,2620,2024,历史,不限,否
10423,中国海洋大学,201,01,14,14,596,3454,2024,历史,不限,否
10423,中国海洋大学  ?,202,02,7,7,596,3519,2024,历史,不限,否
10423,中国海洋大学,203,03,2,2,600,3037,2024,历史,不限,否
10423,中国海洋大学(中外合作办学),204,04,4,4,591,4249,2024,历史,不限,否
10424,山东科技大学,201,01,2,2,531,22447,2024,历史,不限,否
10425,中国石油大学（华东）,201,01,2,0,572,8000,2024,历史,不限,否
10427,济南大学,201,01,37,37,521,26818,2024,历史,不限,否
10427,济南大学,202,02,5,5,533,21321,2024,历史,不限,否
10427,济南大学,203,03,4,4,530,22715,2024,历史,不限,否
10427,济南大学,204,04,4,4,549,15051,2024,历史,不限,否
10429,青岛理工大学,201,01,2,2,522,26431,2024,历史,不限,否
10429,青岛理工大学,202,02,30,5,512,31768,2024,历史,不限,否
10430,山东建筑大学,201,01,2,2,511,32109,2024,历史,不限,否
10430,山东建筑大学,202,02,2,2,523,26291,2024,历史,不限,否
10431,齐鲁工业大学,201,01,13,13,503,37377,2024,历史,不限,否
10434,山东农业大学,201,01,21,21,515,30421,2024,历史,不限,否
10439,山东第一医科大学,201,01,13,13,499,39457,2024,历史,不限,否
10441,山东中医药大学,201,01,1,1,490,45622,2024,历史,不限,否
10445,山东师范大学,201,01,1,1,562,10714,2024,历史,不限,否
10445,山东师范大学,202,02,22,22,534,21022,2024,历史,不限,否
10445,山东师范大学,203,03,1,1,533,21342,2024,历史,不限,否
10445,山东师范大学,204,04,4,4,550,14520,2024,历史,不限,否
10445,山东师范大学,205,05,1,1,581,6016,2024,历史,不限,否
10445,山东师范大学,206,06,5,5,507,34668,2024,历史,不限,否
10445,山东师范大学(中外合作办学),216,16,1,1,503,37207,2024,历史,不限,否
10449,山东航空学院,W201&gt;,01,1,1,506,35399,2024,历史,不限,否
10451,鲁东大学                                 1,201,01,10,10,478,54314,2024,历史,不限,否
10452,临沂大学                                 X,201,01,10,10,518,28591,2024,历史,不限,否
10455,菏泽学院                                 人,201,01,5,5,498,40440,2024,历史,不限,否
