year,subject,school_name,group_id,group_code,min_score,min_rank,xuanke_req,is_special
2024,历史,三峡大学,06,C10606,534,12945,不限,是
2024,历史,武汉体育学院,01,C10701,503,21098,不限,否
2024,历史,武汉体育学院,02,C10702,507,19911,不限,否
2024,历史,江汉大学,01,C10801,541,11357,不限,否
2024,历史,江汉大学,02,C10802,546,10229,不限,否
2024,历史,江汉大学,03,C10803,544,10670,不限,否
2024,历史,江汉大学,04,C10804,545,10436,不限,是
2024,历史,武汉工程大学,01,C10901,555,8421,不限,否
2024,历史,武汉工程大学,02,C10902,554,8618,不限,是
2024,历史,武汉工程大学,03,C10903,551,9214,不限,是
2024,历史,湖北医药学院,01,C11501,487,25815,不限,否
2024,历史,湖北科技学院,01,C11601,496,23113,不限,否
2024,历史,湖北科技学院,02,C11602,478,28654,不限,否
2024,历史,湖北科技学院,03,C11603,496,23113,不限,是
2024,历史,湖北科技学院,04,C11604,495,23413,地理,否
2024,历史,武汉纺织大学,01,C11701,539,11783,不限,否
2024,历史,武汉纺织大学,02,C11702,531,13646,不限,是
2024,历史,武汉纺织大学,03,C11703,525,15178,不限,是
2024,历史,黄冈师范学院,01,C11801,510,19082,不限,否
2024,历史,黄冈师范学院,02,C11802,436,43711,不限,否
2024,历史,黄冈师范学院,03,C11803,510,19082,不限,是
2024,历史,黄冈师范学院,04,C11804,516,17494,政治,否
2024,历史,黄冈师范学院,05,C11805,516,17494,地理,否
2024,历史,武汉轻工大学,01,C12501,533,13193,不限,否
2024,历史,武汉轻工大学,02,C12502,506,20200,不限,否
2024,历史,武汉轻工大学,03,C12503,531,13646,不限,是
2024,历史,武汉轻工大学,04,C12504,531,13646,不限,是
2024,历史,湖北文理学院,01,C12601,506,20200,不限,否
2024,历史,湖北文理学院,02,C12602,467,32349,不限,否
2024,历史,湖北文理学院,03,C12603,505,20499,不限,否
2024,历史,湖北文理学院,04,C12604,506,20200,不限,是
2024,历史,湖北文理学院,05,C12605,478,28654,不限,是
2024,历史,湖北文理学院,06,C12606,503,21098,地理,否
2024,历史,湖北工程学院,01,C12701,495,23413,不限,否
2024,历史,湖北工程学院,02,C12702,500,21955,政治,否
2024,历史,湖北经济学院,02,C12802,535,12714,不限,否
2024,历史,湖北经济学院,03,C12803,511,18814,不限,否
2024,历史,湖北经济学院,04,C12804,511,18814,不限,是
2024,历史,湖北民族大学,01,C12901,507,19911,不限,否
2024,历史,湖北民族大学,02,C12902,492,24328,不限,是
2024,历史,湖北民族大学,03,C12903,513,18274,政治,是
2024,历史,湖北民族大学,07,C12907,506,20200,地理,是
2024,历史,湖北民族大学,08,C12908,484,26733,生物,是
2024,历史,湖北民族大学,18,C12918,497,22848,不限,是
2024,历史,湖北民族大学,20,C12920,451,38019,不限,否
2024,历史,湖北工业大学,01,C13001,559,7693,不限,否
2024,历史,湖北工业大学,02,C13002,552,9000,不限,是
2024,历史,湖北工业大学,03,C13003,551,9214,不限,是
2024,历史,湖北汽车工业学院,01,C13101,490,24923,不限,否
2024,历史,湖北汽车工业学院,02,C13102,485,26443,不限,是
2024,历史,湖北中医药大学,02,C13202,432,45225,化学,否
2024,历史,湖北中医药大学,03,C13203,432,45225,化学,否
2024,历史,湖北师范大学,01,C13301,528,14431,不限,否
2024,历史,湖北师范大学,02,C13302,520,16486,不限,是
2024,历史,湖北师范大学,03,C13303,537,12230,政治,否
2024,历史,湖北师范大学,04,C13304,531,13646,地理,否
2024,历史,湖北美术学院,01,C13601,490,24923,不限,否
2024,历史,湖北第二师范学院,01,C13701,510,19082,不限,否
2024,历史,湖北第二师范学院,02,C13702,525,15178,不限,否
2024,历史,湖北第二师范学院,03,C13703,514,18013,不限,否
2024,历史,湖北第二师范学院,04,C13704,515,17763,不限,否
2024,历史,湖北第二师范学院,05,C13705,490,24923,不限,否
2024,历史,湖北第二师范学院,06,C13706,520,16486,不限,是
2024,历史,湖北第二师范学院,07,C13707,522,15985,政治,否
2024,历史,湖北理工学院,01,C13801,486,26104,不限,否
2024,历史,湖北理工学院,02,C13802,493,24028,不限,否
2024,历史,湖北理工学院,03,C13803,88,999999,不限,是
2024,历史,湖北理工学院,04,C13804,497,22848,不限,否
2024,历史,荆楚理工学院,01,C13901,489,25231,不限,否
2024,历史,荆楚理工学院,03,C13903,465,33021,不限,否
2024,历史,武汉商学院,01,C15001,498,22526,不限,否
2024,历史,武汉商学院,02,C15002,481,27675,不限,否
2024,历史,汉江师范学院,01,C15101,493,24028,限,否
2024,历史,汉江师范学院,02,C15102,497,22848,政治,否
2024,历史,武汉东湖学院,01,C20101,443,41023,不限,否
2024,历史,武汉晴川学院,01,C20201,435,44079,不限,否
2024,历史,武昌首义学院,01,C20501,476,29295,不限,否
2024,历史,汉口学院,01,C20601,450,38417,不限,否
2024,历史,汉口学院,02,C20602,443,41023,不限,否
2024,历史,武汉学院,01,C20801,469,31651,不限,否
2024,历史,武汉设计工程学院,01,C20901,432,45225,不限,否
2024,历史,武汉工程科技学院,01,C21001,436,43711,不限,否
2024,历史,武汉华夏理工学院,01,C21101,439,42545,不限,否
2024,历史,武汉城市学院,01,C21201,433,44827,不限,否
2024,历史,武汉城市学院,02,C21202,432,45225,化学,否
2024,历史,武昌理工学院,01,C21501,455,36545,不限,否
2024,历史,湖北大学知行学院,01,C21601,472,30639,不限,否
2024,历史,武汉工商学院,01,C21701,464,33355,不限,否
2024,历史,武汉工商学院,02,C21702,432,45225,不限,否
2024,历史,荆州学院,01,C21801,434,44467,不限,否
2024,历史,长江大学文理学院,01,C21901,472,30639,不限,否
2024,历史,长江大学文理学院,02,C21902,482,27370,不限,否
2024,历史,长江大学文理学院,03,C21903,464,33355,生物,否
2024,历史,长江大学文理学院,04,C21904,481,27675,政治,否
2024,历史,三峡大学科技学院,01,C22001,468,32024,不限,否
2024,历史,武汉体育学院体育科技学院,01,C22101,451,38019,不限,否
2024,历史,武汉体育学院体育科技学院,02,C22102,437,43333,不限,否
2024,历史,武汉文理学院,01,C22301,455,36545,不限,否
2024,历史,武汉文理学院,02,C22302,442,41409,不限,否
2024,历史,武汉文理学院,03,C22303,453,37284,生物,否
2024,历史,武汉工程大学邮电与信息工程学院,01,C22501,457,35824,不限,否
2024,历史,武昌工学院,01,C22601,438,42943,不限,否
2024,历史,武汉纺织大学外经贸学院,01,C22801,437,43333,不限,否
2024,历史,湖北文理学院理工学院,01,C22901,470,31326,不限,否
2024,历史,湖北工程学院新技术学院,01,C23001,467,32349,不限,否
2024,历史,湖北经济学院法商学院,01,C23101,462,34098,不限,否
2024,历史,湖北恩施学院,01,C23201,455,36545,不限,否
2024,历史,湖北恩施学院,02,C23202,449,38766,不限,否
2024,历史,湖北恩施学院,03,C23203,8,999999,生物,否
2024,历史,湖北工业大学工程技术学院,01,C23301,454,36909,不,否
2024,历史,湖北师范大学文理学院,01,C23701,468,32024,不限,否
2024,历史,武汉生物工程学院,02,C23802,132,999999,化学,否
2024,历史,武汉生物工程学院,03,C23803,450,38417,V,否
2024,历史,北方工业大学,01,F00201,527,14666,不限,否
2024,历史,北京印刷学院,01,F00501,536,12476,不限,否
2024,历史,首都体育学院,01,F01101,543,10926,不限,否
2024,历史,北京物资学院,01,F01301,540,11562,不限,是
2024,历史,北京物资学院,02,F01302,547,10005,不限,否
2024,历史,首都经济贸易大学,01,F01401,577,4789,不限,否
2024,历史,首都经济贸易大学,02,F01402,567,6324,不限,是
2024,历史,中国戏曲学院,01,F01601,570,5797,不限,否
2024,历史,北京电影学院,01,F01701,570,5797,不限,否
2024,历史,北京电影学院,02,F01702,568,6159,不限,否
2024,历史,北京电影学院,03,F01703,564,6816,不限,否
2024,历史,北京电影学院,04,F01704,567,6324,不限,否
2024,历史,北京联合大学,01,F02001,567,6324,不限,否
2024,历史,北京城市学院,01,F05401,466,32670,不限,否
2024,历史,首都师范大学科德学院,01,F05601,449,38766,不限,否
2024,历史,北京金融科技学院,01,F05701,456,36169,不限,否
2024,历史,天津科技大学,01,F09101,559,7693,不限,否
2024,历史,天津工业大学,01,F09201,572,5494,不限,否
