school_code,school_name,group_code,group_id,xuanke_req,plan_count,admitted,min_score,min_rank,year,subject,is_special
7511,石河子大学,02,02,不限,30,0,563,46972,2024,物理,否
7511,石河子大学,03,03,化学,30,0,571,44230,2024,物理,否
7511,石河子大学,04,04,化学,30,0,566,45944,2024,物理,否
7512,新疆科技学院,02,02,不限,30,0,502,108900,2024,物理,否
7512,新疆科技学院,03,03,化学,30,0,483,147954,2024,物理,否
7512,新疆科技学院,04,04,化学和生物,30,0,489,143864,2024,物理,否
7512,新疆科技学院,05,05,生物,30,0,508,105601,2024,物理,否
7512,新疆科技学院,06,06,思想政治,30,0,501,109450,2024,物理,否
7513,新疆理工学院,02,02,不限,30,0,502,108900,2024,物理,否
7513,新疆理工学院,03,03,化学,30,0,484,147273,2024,物理,否
7521,伊犁师范大学,04,04,不限,30,0,503,108350,2024,物理,否
7521,伊犁师范大学,05,05,化学,30,0,484,147273,2024,物理,否
7521,伊犁师范大学,06,06,地理,30,0,506,106700,2024,物理,否
7523,新疆和田学院,04,04,不限,30,0,505,107250,2024,物理,否
7523,新疆和田学院,05,05,化学,30,0,484,147273,2024,物理,否
7526,塔里木大学,02,02,化学,30,0,490,143183,2024,物理,否
7527,新疆医科大学,01,01,化学,30,0,532,76801,2024,物理,否
7527,新疆医科大学,02,02,化学和生物,30,0,535,75430,2024,物理,否
7529,喀什大学,03,03,不限,30,0,507,106151,2024,物理,否
7529,喀什大学,04,04,化学,30,0,490,143183,2024,物理,否
7531,新疆政法学院,03,03,不限,30,0,504,107800,2024,物理,否
7531,新疆政法学院,04,04,化学,30,0,486,145909,2024,物理,否
7531,新疆政法学院,05,05,思想政治,30,0,503,108350,2024,物理,否
8001,上海杉达学院,03,03,不限,30,0,492,141819,2024,物理,否
8001,上海杉达学院,04,04,化学,30,0,462,180881,2024,物理,否
8002,上海建桥学院,03,03,不限,30,0,493,141138,2024,物理,否
8002,上海建桥学院,04,04,化学,30,0,467,177082,2024,物理,否
8003,上海兴伟学院,02,02,不限,30,0,475,171003,2024,物理,否
8004,上海视觉艺术学院,02,02,不限,30,0,505,107250,2024,物理,否
